Name,Email,Phone
Abhi Gupta,abhi.gupta@gmail.com,9001122334
Amit Sharma,amit.mca@yahoo.in,8877665544
Ankit,ankit_mca@gmail.com,8888990011
Deepak Kumar,deepak.kumar@hotmail.com,9988776655
Divya,divya.dev@gmail.com,8899001122
Jaya,jaya_gupta@gmail.com,7799001122
Karan,karan_90@yahoo.com,8822334455
Mahi,mahi_123@gmail.com,9876543210
Megha,megha_ai@gmail.com,8855667788
Pooja,pooja_dev@yahoo.in,9977889900
Priya Singh,priya.singh@edu.in,7788990011
Ravi,ravi_kumar@outlook.com,9911001100
Rohit,rohit_mca@gmail.com,9911223344
Shweta,shweta.official@gmail.com,7733223344
Sneha,sneha.official@gmail.com,7733445566
Suresh Raina,s.raina@gmail.com,7766778899
Tanmay,tanmay_dev@gmail.com,8822112233
Vikas Verma,vikas.v@outlook.com,9944556677
Zoya,zoya.ai@startup.co,6655443322
